ID,Nom,Lat,Lon,Date
545,Fontaine-Daniel,48.277778,-0.672778,1204
546,Santa Maria delle Paludi,40.635098,8.526605,1205
547,Velehrad,49.103434,17.395704,1205
548,Abington,52.633889,-8.433333,1205
549,Lilienfeld,48.013056,15.597222,1202
550,San Tommaso dei Borgognoni (Torcello),45.495833,12.416667,1206
551,Belmonte,43.2825,-6.216667,1206
552,Tautra,63.583333,10.633333,1207
553,Daphni,38.013056,23.635833,1209
554,Daugavgriva,57.044529,24.040146,1208
555,Topusko,45.293056,15.972222,1208
556,Stephanus de Graecia,41.009288,28.974787,1208
557,Arabona,42.30232,14.06315,1208
558,Barona,45.2,9.283333,1210
560,Medmenham,51.551944,-0.823889,1212
561,Santa Maria dell’Arco,36.983333,15.016667,1212
562,SotosAlbos,41.028333,-3.9,1212
563,L'Escarp,41.430833,0.355278,1213
564,San Giorgio di Iubino,36.2,36.15,1214
565,Abbeylara,53.766667,-7.45,1214
566,Chortaiton,40.612222,23.097778,1212
567,Sanctus Angelus in Petra,41.0197,28.9586,1214
569,Verteskeresztur,47.443611,18.271389,1214
570,La Vega,42.45,-4.7,1215
571,Marienstatt,50.68514,7.8031,1215
573,Culross,56.058194,-3.625556,1217
574,Quartazzola,45.024266,9.621568,1217
575,Macosquin,55.099167,-6.716667,1218
576,San Pastore,42.430487,12.759890,1218
577,Deer,57.523333,-2.054028,1219
578,Hulton,53.028056,-2.141667,1219
579,Pernau,47.154722,16.454167,1219
580,Sant’Angelo in Frigido,39.083333,16.783333,1219
581,Saddell,55.531816,-5.510673,1219
582,Sao Paulo de Frades,40.245,-8.370833,1221
583,Mogila,50.064444,20.053333,1222
584,San Pietro della Canonica,40.633056,14.597222,1223
585,Spissky Stiavnik,48.995,20.36,1223
586,Santa Fe,41.577099,-0.951001,1223
587,Lavaix,42.388333,0.747778,1224
588,Zaraka,37.866944,22.458056,1225
589,Tracton,51.756389,-8.391667,1225
590,Boudelo,51.181667,3.99,1215
591,Acibeiro,42.6175,-8.301667,1225
592,San Clodio,42.367222,-8.125,1225
593,Penamaior,42.849722,-7.166667,1225
594,Santa Maria Incoronata,41.381458,15.640596,1235
595,Grace Dieu,51.828056,-2.804167,1226
596,Santa Maria di Mirteto,43.750833,10.479167,1227
597,Heinrichau,50.666667,17.016667,1227
598,Wettingen,47.45623,8.31639,1227
599,Royaumont,49.14734,2.38311,1228
600,San Galgano,43.150278,11.154444,1228
601,Ihlow,53.404167,7.458889,1228
602,Epau,47.99103,0.24344,1229
603,Ospedale del Piave,45.821389,12.310833,1229
604,Brondolo,45.183611,12.278333,1229
605,Balmerino,56.409906,-3.042069,1229
606,Valence,46.312778,0.176111,1230
607,Cavatigozzi,45.149722,9.955278,1231
608,Grandpre,50.418056,5.017222,1231
609,Santo Stefano al Corno,45.116667,9.75,1231
610,Hude,53.116999,8.449076,1232
611,Kutjevo,45.45,17.833056,1232
612,Belapatfalva,48.048889,20.364722,1232
613,San Pantaleone di Monte Faeta,43.770833,10.471111,1233
614,Neuenkamp,54.18614,12.8765,1234
615,Sant’Agostino di Montalto,42.346111,11.576667,1234
616,Karkna,58.466667,26.65,1233
617,San Salvatore di Monte Acuto,43.283066,12.354757,1234
618,Belin Studenac,45.2495,19.88757,1234
619,Benifassa,40.676389,0.19825,1235
620,Beaulieu (Zypern),35.173889,33.353889,1235
621,Grunhain,50.579561,12.811114,1235
622,Sanctus Sergius,34.116667,35.65,1235
623,Santa Maria de la Real (Palma de Mallorca),39.604167,2.640278,1236
624,San Salvatore a Settimo,43.780833,11.145833,1236
625,Paradies (Neumark),52.338889,15.5475,1236
626,Capolago,45.793333,8.809722,1236
627,Saint-Bernard-sur-l'Escaut,51.13129,4.33099,1243
628,Preallo,44.616667,8.909722,1237
629,Obra,52.071667,16.041667,1237
630,Kamenz,50.519167,16.881389,1247
